t              pw-with-periodic.fdtd_after_Ex_3_3_5.dat       incid
   0.19720531874156677E-008  -0.428005733E-003   0.972246528E+000
   0.19874598529423526E-008  -0.153690256E-003   0.992736936E+000
   0.20028665184690375E-008   0.131322071E-003   0.999990880E+000
   0.20182731839957224E-008   0.407569692E-003   0.993715525E+000
   0.20336798495224073E-008   0.656414661E-003   0.974164605E+000
   0.20490865150490922E-008   0.861746375E-003   0.942120671E+000
   0.20644931805757771E-008   0.101141923E-002   0.898845315E+000
   0.20798998461024620E-008   0.109827600E-002   0.845994592E+000
   0.20953065116291469E-008   0.112062239E-002   0.785514474E+000
   0.21107131771558318E-008   0.108203769E-002   0.719523549E+000
   0.21261198426825167E-008   0.990622444E-003   0.650189519E+000
   0.21415265082092017E-008   0.857803621E-003   0.579614162E+000
   0.21569331737358866E-008   0.696965610E-003   0.509732306E+000
   0.21723398392625715E-008   0.522020040E-003   0.442231268E+000
   0.21877465047892564E-008   0.346114539E-003   0.378495634E+000
   0.22031531703159413E-008   0.180584015E-003   0.319577694E+000
   0.22185598358426262E-008   0.342022540E-004   0.266192645E+000
   0.22339665013693111E-008  -0.871901066E-004   0.218735814E+000
   0.22493731668959960E-008  -0.180745352E-003   0.177315980E+000
   0.22647798324226809E-008  -0.246296579E-003   0.141801149E+000
   0.22801864979493658E-008  -0.285794493E-003   0.111870624E+000
   0.22955931634760507E-008  -0.302624569E-003   0.870675743E-001
   0.23109998290027356E-008  -0.300970598E-003   0.668498725E-001
   0.23264064945294205E-008  -0.285296905E-003   0.506350361E-001
   0.23418131600561054E-008  -0.259973400E-003   0.378357284E-001
   0.23572198255827903E-008  -0.229000827E-003   0.278906375E-001
   0.23726264911094752E-008  -0.195790955E-003   0.202824194E-001
   0.23880331566361601E-008  -0.163002580E-003   0.145507343E-001
   0.24034398221628450E-008  -0.132470683E-003   0.102980137E-001
   0.24188464876895299E-008  -0.105259693E-003   0.718997372E-002
   0.24342531532162148E-008  -0.818285553E-004   0.495227659E-002
   0.24496598187428997E-008  -0.622422958E-004   0.336500420E-002
   0.24650664842695846E-008  -0.463466677E-004   0.225566467E-002
   0.24804731497962695E-008  -0.338581085E-004   0.149163278E-002
   0.24958798153229544E-008  -0.243820105E-004   0.973094080E-003
   0.25112864808496393E-008  -0.174166362E-004   0.626258785E-003
   0.25266931463763243E-008  -0.123960908E-004   0.397608936E-003
   0.25420998119030092E-008  -0.877962520E-005   0.249035453E-003
   0.25575064774296941E-008  -0.614464352E-005   0.153876652E-003
   0.25729131429563790E-008  -0.422721860E-005   0.937966834E-004
   0.25883198084830639E-008  -0.288673482E-005   0.564033180E-004
   0.26037264740097488E-008  -0.202413094E-005   0.334602191E-004
   0.26191331395364337E-008  -0.151420022E-005   0.195819503E-004
   0.26345398050631186E-008  -0.119760466E-005   0.113054730E-004
   0.26499464705898035E-008  -0.929909220E-006   0.643905332E-005
   0.26653531361164884E-008  -0.641033523E-006   0.361794127E-005
   0.26807598016431733E-008  -0.352657764E-006   0.200540853E-005
   0.26961664671698582E-008  -0.136398739E-006   0.109661028E-005
   0.27115731326965431E-008  -0.431123865E-007   0.591567414E-006
   0.27269797982232280E-008  -0.559945974E-007   0.314816617E-006
   0.27423864637499129E-008  -0.100675052E-006   0.165279815E-006
   0.27577931292765978E-008  -0.100786110E-006   0.856020321E-007
   0.27731997948032827E-008  -0.332371002E-007   0.437370566E-007
   0.27886064603299676E-008   0.600562444E-007   0.220457252E-007
   0.28040131258566525E-008   0.111260491E-006   0.109623963E-007
   0.28194197913833374E-008   0.837081942E-007   0.537747713E-008
   0.28348264569100223E-008   0.142436107E-008   0.260235233E-008
   0.28502331224367072E-008  -0.709240595E-007   0.124238209E-008
   0.28656397879633921E-008  -0.797619109E-007   0.585119619E-009
   0.28810464534900770E-008  -0.238519888E-007   0.271859757E-009
   0.28964531190167619E-008   0.472140584E-007   0.124608143E-009
   0.29118597845434468E-008   0.745260849E-007   0.563440301E-010
   0.29272664500701318E-008   0.370397224E-007   0.251339592E-010
   0.29426731155968167E-008  -0.331659642E-007   0.110605015E-010
   0.29580797811235016E-008  -0.785121443E-007   0.480162481E-011
   0.29734864466501865E-008  -0.629423980E-007   0.205645570E-011
   0.29888931121768714E-008  -0.213880469E-009   0.868840969E-012
   0.30042997777035563E-008   0.585283715E-007   0.362130980E-012
   0.30197064432302412E-008   0.667393749E-007   0.148903283E-012
   0.30351131087569261E-008   0.196137790E-007   0.604008353E-013
   0.30505197742836110E-008  -0.431805205E-007   0.241701987E-013
   0.30659264398102959E-008  -0.704401089E-007   0.954182869E-014
   0.30813331053369808E-008  -0.407681213E-007   0.371605975E-014
   0.30967397708636657E-008   0.209619131E-007   0.142768335E-014
   0.31121464363903506E-008   0.645922711E-007   0.541123134E-015
   0.31275531019170355E-008   0.554527944E-007   0.202329688E-015
   0.31429597674437204E-008   0.185129778E-008   0.746312326E-016
   0.31583664329704053E-008  -0.524201731E-007   0.271579972E-016
   0.31737730984970902E-008  -0.638310738E-007   0.974930456E-017
   0.31891797640237751E-008  -0.239498483E-007   0.345260183E-017
   0.32045864295504600E-008   0.344513609E-007   0.120624771E-017
   0.32199930950771449E-008   0.643370299E-007   0.415742863E-018
   0.32353997606038298E-008   0.422443875E-007   0.141354439E-018
   0.32508064261305147E-008  -0.133876767E-007   0.474146293E-019
   0.32662130916571996E-008  -0.576494514E-007   0.156896436E-019
   0.32816197571838845E-008  -0.554203368E-007   0.512164628E-020
   0.32970264227105694E-008  -0.918333143E-008   0.164939764E-020
   0.33124330882372544E-008   0.435949374E-007   0.524008720E-021
   0.33278397537639393E-008   0.608694606E-007   0.164227840E-021
   0.33432464192906242E-008   0.295121545E-007   0.507779920E-022
   0.33586530848173091E-008  -0.247779219E-007   0.154882031E-022
   0.33740597503439940E-008  -0.585724287E-007   0.466037763E-023
   0.33894664158706789E-008  -0.454793607E-007   0.138344785E-023
   0.34048730813973638E-008   0.326600258E-008   0.405135887E-024
   0.34202797469240487E-008   0.484284080E-007   0.117039508E-024
   0.34356864124507336E-008   0.543829302E-007   0.333570173E-025
   0.34510930779774185E-008   0.172245755E-007   0.937858935E-026
   0.34664997435041034E-008  -0.328021201E-007   0.260124361E-026
   0.34819064090307883E-008  -0.559331568E-007   0.711798141E-027
   0.34973130745574732E-008  -0.345101654E-007   0.192137199E-027
   0.35127197400841581E-008   0.135601859E-007   0.511642549E-028
   0.35281264056108430E-008   0.497487065E-007   0.134414894E-028
   0.35435330711375279E-008   0.457970550E-007   0.348355362E-029
   0.35589397366642128E-008   0.578494408E-008   0.890613765E-030
   0.35743464021908977E-008  -0.378576495E-007   0.224637981E-030
   0.35897530677175826E-008  -0.506287989E-007   0.558947152E-031
   0.36051597332442675E-008  -0.232347084E-007   0.137198470E-031
   0.36205663987709524E-008   0.216989804E-007   0.332249989E-032
   0.36359730642976373E-008   0.482827005E-007   0.793699388E-033
   0.36513797298243222E-008   0.360252486E-007   0.187045040E-033
   0.36667863953510071E-008  -0.438417302E-008   0.434876689E-034
   0.36821930608776920E-008  -0.403161593E-007   0.997421019E-035
   0.36975997264043770E-008  -0.435315854E-007   0.225673338E-035
   0.37130063919310619E-008  -0.123667228E-007   0.506626344E-036
   0.37284130574577468E-008   0.276484649E-007   0.112230891E-036
   0.37438197229844317E-008   0.446723796E-007   0.245294101E-037
   0.37592263885111166E-008   0.258762558E-007   0.000000000E+000
   0.37746330540378015E-008  -0.129202764E-007   0.000000000E+000
   0.37900397195644864E-008  -0.405118072E-007   0.000000000E+000
   0.38054463850911713E-008  -0.353857530E-007   0.000000000E+000
   0.38208530506178562E-008  -0.247729304E-008   0.000000000E+000
   0.38362597161445411E-008   0.314341513E-007   0.000000000E+000
   0.38516663816712260E-008   0.394882633E-007   0.000000000E+000
   0.38670730471979109E-008   0.160006177E-007   0.000000000E+000
   0.38824797127245958E-008  -0.195954204E-007   0.000000000E+000
   0.38978863782512807E-008  -0.387917396E-007   0.000000000E+000
   0.39132930437779656E-008  -0.268153908E-007   0.000000000E+000
   0.39286997093046505E-008   0.602957506E-008   0.000000000E+000
   0.39441063748313354E-008   0.331740040E-007   0.000000000E+000
   0.39595130403580203E-008   0.332523236E-007   0.000000000E+000
   0.39749197058847052E-008   0.689810697E-008   0.000000000E+000
   0.39903263714113901E-008  -0.243201850E-007   0.000000000E+000
   0.40057330369380750E-008  -0.355261740E-007   0.000000000E+000
   0.40211397024647599E-008  -0.183381115E-007   0.000000000E+000
   0.40365463679914448E-008   0.129014399E-007   0.000000000E+000
   0.40519530335181297E-008   0.330655787E-007   0.000000000E+000
   0.40673596990448146E-008   0.264345061E-007   0.000000000E+000
   0.40827663645714996E-008  -0.107272946E-008   0.000000000E+000
   0.40981730300981845E-008  -0.271254965E-007   0.000000000E+000
   0.41135796956248694E-008  -0.310927284E-007   0.000000000E+000
   0.41289863611515543E-008  -0.103622977E-007   0.000000000E+000
   0.41443930266782392E-008   0.180260216E-007   0.000000000E+000
   0.41597996922049241E-008   0.313700568E-007   0.000000000E+000
   0.41752063577316090E-008   0.194453484E-007   0.000000000E+000
   0.41906130232582939E-008  -0.768730857E-008   0.000000000E+000
   0.42060196887849788E-008  -0.281469692E-007   0.000000000E+000
   0.42214263543116637E-008  -0.258661750E-007   0.000000000E+000
   0.42368330198383486E-008  -0.319211679E-008   0.000000000E+000
   0.42522396853650335E-008   0.214136886E-007   0.000000000E+000
   0.42676463508917184E-008   0.283960588E-007   0.000000000E+000
   0.42830530164184033E-008   0.126351658E-007   0.000000000E+000
   0.42984596819450882E-008  -0.128379725E-007   0.000000000E+000
   0.43138663474717731E-008  -0.276021179E-007   0.000000000E+000
   0.43292730129984580E-008  -0.202077093E-007   0.000000000E+000
   0.43446796785251429E-008   0.296165048E-008   0.000000000E+000
   0.43600863440518278E-008   0.231719586E-007   0.000000000E+000
   0.43754930095785127E-008   0.244783056E-007   0.000000000E+000
   0.43908996751051976E-008   0.629339780E-008   0.000000000E+000
   0.44063063406318825E-008  -0.165127005E-007   0.000000000E+000
   0.44217130061585674E-008  -0.257625139E-007   0.000000000E+000
   0.44371196716852523E-008  -0.144512535E-007   0.000000000E+000
   0.44525263372119372E-008   0.797083910E-008   0.000000000E+000
   0.44679330027386222E-008   0.234783037E-007   0.000000000E+000
   0.44833396682653071E-008   0.199542942E-007   0.000000000E+000
   0.44987463337919920E-008   0.646361187E-009   0.000000000E+000
   0.45141529993186769E-008  -0.187750455E-007   0.000000000E+000
   0.45295596648453618E-008  -0.229269226E-007   0.000000000E+000
   0.45449663303720467E-008  -0.888996521E-008   0.000000000E+000
   0.45603729958987316E-008   0.117804708E-007   0.000000000E+000
   0.45757796614254165E-008   0.225557049E-007   0.000000000E+000
   0.45911863269521014E-008   0.151436979E-007   0.000000000E+000
   0.46065929924787863E-008  -0.414427603E-008   0.000000000E+000
   0.46219996580054712E-008  -0.197463788E-007   0.000000000E+000
   0.46374063235321561E-008  -0.193985574E-007   0.000000000E+000
   0.46528129890588410E-008  -0.376587828E-008   0.000000000E+000
   0.46682196545855259E-008   0.143995535E-007   0.000000000E+000
   0.46836263201122108E-008   0.206519530E-007   0.000000000E+000
   0.46990329856388957E-008   0.103325890E-007   0.000000000E+000
   0.47144396511655806E-008  -0.798056288E-008   0.000000000E+000
   0.47298463166922655E-008  -0.195898782E-007   0.000000000E+000
   0.47452529822189504E-008  -0.154671493E-007   0.000000000E+000
   0.47606596477456353E-008   0.735978389E-009   0.000000000E+000
   0.47760663132723202E-008   0.158910325E-007   0.000000000E+000
   0.47914729787990051E-008   0.180223072E-007   0.000000000E+000
   0.48068796443256900E-008   0.576265879E-008   0.000000000E+000
   0.48222863098523749E-008  -0.108244409E-007   0.000000000E+000
   0.48376929753790598E-008  -0.184958733E-007   0.000000000E+000
   0.48530996409057447E-008  -0.113954819E-007   0.000000000E+000
   0.48685063064324297E-008   0.448937953E-008   0.000000000E+000
   0.48839129719591146E-008   0.163610991E-007   0.000000000E+000
   0.48993196374857995E-008   0.149154147E-007   0.000000000E+000
   0.49147263030124844E-008   0.162507163E-008   0.000000000E+000
   0.49301329685391693E-008  -0.126914550E-007   0.000000000E+000
   0.49455396340658542E-008  -0.166686913E-007   0.000000000E+000
   0.49609462995925391E-008  -0.741021378E-008   0.000000000E+000
   0.49763529651192240E-008   0.742490514E-008   0.000000000E+000
   0.49917596306459089E-008   0.159480535E-007   0.000000000E+000
   0.50071662961725938E-008   0.115622854E-007   0.000000000E+000
   0.50225729616992787E-008  -0.194159355E-008   0.000000000E+000
   0.50379796272259636E-008  -0.136424845E-007   0.000000000E+000
   0.50533862927526485E-008  -0.143150469E-007   0.000000000E+000
   0.50687929582793334E-008  -0.369635700E-008   0.000000000E+000
   0.50841996238060183E-008   0.952508472E-008   0.000000000E+000
   0.50996062893327032E-008   0.148112829E-007   0.000000000E+000
   0.51150129548593881E-008   0.816820744E-008   0.000000000E+000
   0.51304196203860730E-008  -0.484997997E-008   0.000000000E+000
   0.51458262859127579E-008  -0.137741898E-007   0.000000000E+000
   0.51612329514394428E-008  -0.116341763E-007   0.000000000E+000
   0.51766396169661277E-008  -0.395120381E-009   0.000000000E+000
   0.51920462824928126E-008   0.108171792E-007   0.000000000E+000
   0.52074529480194975E-008   0.131205535E-007   0.000000000E+000
   0.52228596135461824E-008   0.490716445E-008   0.000000000E+000
   0.52382662790728673E-008  -0.706000236E-008   0.000000000E+000
   0.52536729445995523E-008  -0.132088180E-007   0.000000000E+000
   0.52690796101262372E-008  -0.880961970E-008   0.000000000E+000
   0.52844862756529221E-008   0.239580711E-008   0.000000000E+000
   0.52998929411796070E-008   0.113647545E-007   0.000000000E+000
   0.53152996067062919E-008   0.110463159E-007   0.000000000E+000
   0.53307062722329768E-008   0.191864746E-008   0.000000000E+000
   0.53461129377596617E-008  -0.857306048E-008   0.000000000E+000
   0.53615196032863466E-008  -0.120841630E-007   0.000000000E+000
   0.53769262688130315E-008  -0.600297279E-008   0.000000000E+000
   0.53923329343397164E-008   0.461980720E-008   0.000000000E+000
   0.54077395998664013E-008   0.112585994E-007   0.000000000E+000
   0.54231462653930862E-008   0.875125572E-008   0.000000000E+000
   0.54385529309197711E-008  -0.693502145E-009   0.000000000E+000
   0.54539595964464560E-008  -0.942514422E-008   0.000000000E+000
   0.54693662619731409E-008  -0.105442188E-007   0.000000000E+000
   0.54847729274998258E-008  -0.334950867E-008   0.000000000E+000
   0.55001795930265107E-008   0.625738794E-008   0.000000000E+000
   0.55155862585531956E-008   0.106077502E-007   0.000000000E+000
   0.55309929240798805E-008   0.638348796E-008   0.000000000E+000
   0.55463995896065654E-008  -0.286042079E-008   0.000000000E+000
   0.55618062551332503E-008  -0.967936042E-008   0.000000000E+000
   0.55772129206599352E-008  -0.873095463E-008   0.000000000E+000
   0.55926195861866201E-008  -0.955707513E-009   0.000000000E+000
   0.56080262517133050E-008   0.732109040E-008   0.000000000E+000
   0.56234329172399899E-008   0.953101775E-008   0.000000000E+000
   0.56388395827666749E-008   0.407145162E-008   0.000000000E+000
   0.56542462482933598E-008  -0.454601157E-008   0.000000000E+000
   0.56696529138200447E-008  -0.941835765E-008   0.000000000E+000
   0.56850595793467296E-008  -0.677747503E-008   0.000000000E+000
   0.57004662448734145E-008   0.110149623E-008   0.000000000E+000
   0.57158729104000994E-008   0.784973864E-008   0.000000000E+000
   0.57312795759267843E-008   0.814946866E-008   0.000000000E+000
   0.57466862414534692E-008   0.192061345E-008   0.000000000E+000
   0.57620929069801541E-008  -0.574354564E-008   0.000000000E+000
   0.57774995725068390E-008  -0.873708395E-008   0.000000000E+000
   0.57929062380335239E-008  -0.480276485E-008   0.000000000E+000
   0.58083129035602088E-008   0.277387135E-008   0.000000000E+000
   0.58237195690868937E-008   0.790232058E-008   0.000000000E+000
   0.58391262346135786E-008   0.657999344E-008   0.000000000E+000
   0.58545329001402635E-008   0.118052235E-010   0.000000000E+000
   0.58699395656669484E-008  -0.647136522E-008   0.000000000E+000
   0.58853462311936333E-008  -0.773610775E-008   0.000000000E+000
   0.59007528967203182E-008  -0.290797697E-008   0.000000000E+000
   0.59161595622470031E-008   0.403978584E-008   0.000000000E+000
   0.59315662277736880E-008   0.755189777E-008   0.000000000E+000
   0.59469728933003729E-008   0.493016739E-008   0.000000000E+000
   0.59623795588270578E-008  -0.159891078E-008   0.000000000E+000
   0.59777862243537427E-008  -0.676804079E-008   0.000000000E+000
   0.59931928898804276E-008  -0.651575283E-008   0.000000000E+000
   0.60085995554071125E-008  -0.117421761E-008   0.000000000E+000
   0.60240062209337975E-008   0.490110397E-008   0.000000000E+000
   0.60394128864604824E-008   0.687978385E-008   0.000000000E+000
   0.60548195519871673E-008   0.329439853E-008   0.000000000E+000
   0.60702262175138522E-008  -0.287912894E-008   0.000000000E+000
   0.60856328830405371E-008  -0.668730848E-008   0.000000000E+000
   0.61010395485672220E-008  -0.517121856E-008   0.000000000E+000
   0.61164462140939069E-008   0.338267192E-009   0.000000000E+000
   0.61318528796205918E-008   0.537938805E-008   0.000000000E+000
   0.61472595451472767E-008   0.597025096E-008   0.000000000E+000
   0.61626662106739616E-008   0.175136927E-008   0.000000000E+000
   0.61780728762006465E-008  -0.381794063E-008   0.000000000E+000
   0.61934795417273314E-008  -0.629300700E-008   0.000000000E+000
   0.62088862072540163E-008  -0.378867870E-008   0.000000000E+000
   0.62242928727807012E-008   0.158978786E-008   0.000000000E+000
   0.62396995383073861E-008   0.551173640E-008   0.000000000E+000
   0.62551062038340710E-008   0.490591612E-008   0.000000000E+000
   0.62705128693607559E-008   0.362651686E-009   0.000000000E+000
   0.62859195348874408E-008  -0.442308368E-008   0.000000000E+000
   0.63013262004141257E-008  -0.565435609E-008   0.000000000E+000
   0.63167328659408106E-008  -0.244249398E-008   0.000000000E+000
   0.63321395314674955E-008   0.255987875E-008   0.000000000E+000
   0.63475461969941804E-008   0.534647437E-008   0.000000000E+000
   0.63629528625208653E-008   0.376392739E-008   0.000000000E+000
   0.63783595280475502E-008  -0.827610425E-009   0.000000000E+000
   0.63937661935742351E-008  -0.471758987E-008   0.000000000E+000
   0.64091728591009200E-008  -0.484168305E-008   0.000000000E+000
   0.64245795246276050E-008  -0.119341870E-008   0.000000000E+000
   0.64399861901542899E-008   0.324525784E-008   0.000000000E+000
   0.64553928556809748E-008   0.493899499E-008   0.000000000E+000
   0.64707995212076597E-008   0.261304245E-008   0.000000000E+000
   0.64862061867343446E-008  -0.179208937E-008   0.000000000E+000
   0.65016128522610295E-008  -0.473620076E-008   0.000000000E+000
   0.65170195177877144E-008  -0.392276123E-008   0.000000000E+000
   0.65324261833143993E-008  -0.877613537E-010   0.000000000E+000
   0.65478328488410842E-008   0.365724873E-008   0.000000000E+000
   0.65632395143677691E-008   0.434788339E-008   0.000000000E+000
   0.65786461798944540E-008   0.151154822E-008   0.000000000E+000
   0.65940528454211389E-008  -0.251896592E-008   0.000000000E+000
   0.66094595109478238E-008  -0.452180071E-008   0.000000000E+000
   0.66248661764745087E-008  -0.295987945E-008   0.000000000E+000
   0.66402728420011936E-008   0.842598435E-009   0.000000000E+000
   0.66556795075278785E-008   0.381889365E-008   0.000000000E+000
   0.66710861730545634E-008   0.363151309E-008   0.000000000E+000
   0.66864928385812483E-008   0.506048758E-009   0.000000000E+000
   0.67018995041079332E-008  -0.301003622E-008   0.000000000E+000
   0.67173061696346181E-008  -0.412198542E-008   0.000000000E+000
   0.67327128351613030E-008  -0.200761696E-008   0.000000000E+000
   0.67481195006879879E-008   0.157950164E-008   0.000000000E+000
   0.67635261662146728E-008   0.376195075E-008   0.000000000E+000
   0.67789328317413577E-008   0.284518786E-008   0.000000000E+000
   0.67943394972680426E-008  -0.368988617E-009   0.000000000E+000
   0.68097461627947276E-008  -0.327846483E-008   0.000000000E+000
